time,open,high,low,close,tick_volume
2026-03-03 12:00:00,1.1596899999999999,1.16148,1.1589800000000001,1.16126,5427
2026-03-03 13:00:00,1.16123,1.16146,1.15897,1.15902,5018
2026-03-03 14:00:00,1.159,1.15993,1.15643,1.15672,7272
2026-03-03 15:00:00,1.15669,1.1584699999999999,1.15297,1.15725,11698
2026-03-03 16:00:00,1.15728,1.16056,1.15688,1.16026,9547
2026-03-03 17:00:00,1.16028,1.16033,1.1586400000000001,1.15902,6138
2026-03-03 18:00:00,1.15902,1.16218,1.15895,1.16151,4505
2026-03-03 19:00:00,1.1615199999999999,1.16254,1.15995,1.16123,5743
2026-03-03 20:00:00,1.1612,1.16241,1.16107,1.16172,3725
2026-03-03 21:00:00,1.1617,1.16181,1.16092,1.16117,1410
2026-03-03 22:00:00,1.16115,1.16121,1.16088,1.16117,727
2026-03-03 23:00:00,1.16123,1.162,1.1608,1.16102,1458
2026-03-04 00:00:00,1.16104,1.16107,1.15919,1.15926,3510
2026-03-04 01:00:00,1.15927,1.15973,1.15744,1.1593499999999999,4031
2026-03-04 02:00:00,1.15933,1.1604,1.1591,1.15976,3128
2026-03-04 03:00:00,1.15976,1.16089,1.15948,1.16082,2140
2026-03-04 04:00:00,1.16082,1.161,1.159,1.15927,2133
2026-03-04 05:00:00,1.15929,1.15985,1.15867,1.15951,2433
2026-03-04 06:00:00,1.15948,1.16172,1.15892,1.16104,2704
2026-03-04 07:00:00,1.16104,1.16278,1.16104,1.16154,3969
2026-03-04 08:00:00,1.16154,1.16166,1.15946,1.15992,4604
2026-03-04 09:00:00,1.15994,1.16199,1.15916,1.16084,4293
2026-03-04 10:00:00,1.16085,1.16466,1.16083,1.16341,8666
2026-03-04 11:00:00,1.16339,1.16544,1.16305,1.16349,3942
2026-03-04 12:00:00,1.16351,1.1648399999999999,1.16256,1.163,3749
2026-03-04 13:00:00,1.1629800000000001,1.16517,1.1629800000000001,1.16308,5075
2026-03-04 14:00:00,1.16306,1.16409,1.16204,1.16244,7112
2026-03-04 15:00:00,1.16243,1.16401,1.16165,1.16399,5665
2026-03-04 16:00:00,1.16399,1.16459,1.16282,1.16366,3479
2026-03-04 17:00:00,1.16366,1.16434,1.16261,1.16327,2781
2026-03-04 18:00:00,1.16329,1.1633,1.16231,1.16241,2050
2026-03-04 19:00:00,1.16242,1.16406,1.16242,1.16392,1840
2026-03-04 20:00:00,1.16393,1.16434,1.16378,1.16401,1635
2026-03-04 21:00:00,1.164,1.16415,1.16333,1.16345,1018
2026-03-04 22:00:00,1.16341,1.16341,1.1627399999999999,1.16337,542
2026-03-04 23:00:00,1.16343,1.16391,1.1633499999999999,1.16345,741
2026-03-05 00:00:00,1.16345,1.1645,1.16317,1.16446,1568
2026-03-05 01:00:00,1.16448,1.16472,1.16266,1.16278,3084
2026-03-05 02:00:00,1.16276,1.16315,1.16221,1.16256,2133
2026-03-05 03:00:00,1.16257,1.16273,1.16096,1.16128,2100
2026-03-05 04:00:00,1.16127,1.16145,1.1605,1.1608100000000001,1736
2026-03-05 05:00:00,1.16078,1.16136,1.15937,1.15944,2102
2026-03-05 06:00:00,1.15941,1.16157,1.15875,1.16066,4078
2026-03-05 07:00:00,1.16064,1.16157,1.1598600000000001,1.16045,3807
2026-03-05 08:00:00,1.16044,1.16044,1.1581,1.15982,4858
2026-03-05 09:00:00,1.1598,1.16441,1.15961,1.16225,11046
2026-03-05 10:00:00,1.16225,1.16313,1.16058,1.16105,3817
2026-03-05 11:00:00,1.16107,1.16171,1.16034,1.16111,3134
2026-03-05 12:00:00,1.16112,1.16245,1.16071,1.16202,3460
2026-03-05 13:00:00,1.162,1.16241,1.15893,1.15972,4540
2026-03-05 14:00:00,1.15971,1.16084,1.15919,1.16024,5724
2026-03-05 15:00:00,1.16025,1.16088,1.15685,1.15828,6349
2026-03-05 16:00:00,1.15826,1.1586400000000001,1.15584,1.15833,6110
2026-03-05 17:00:00,1.15834,1.15916,1.15722,1.1587399999999999,6463
2026-03-05 18:00:00,1.15873,1.15914,1.15708,1.15854,5282
2026-03-05 19:00:00,1.15853,1.15876,1.15694,1.15727,3085
2026-03-05 20:00:00,1.15728,1.16099,1.15698,1.16043,6346
2026-03-05 21:00:00,1.16041,1.161,1.16014,1.16065,1559
2026-03-05 22:00:00,1.16063,1.16075,1.16046,1.16069,383
2026-03-05 23:00:00,1.16069,1.16099,1.16029,1.1606,1047
2026-03-06 00:00:00,1.16061,1.1614,1.16049,1.16106,1853
2026-03-06 01:00:00,1.16106,1.16199,1.16065,1.16146,2544
2026-03-06 02:00:00,1.16145,1.16201,1.16139,1.16159,1684
2026-03-06 03:00:00,1.16157,1.16206,1.16157,1.16196,1290
2026-03-06 04:00:00,1.16196,1.16207,1.16128,1.16131,991
2026-03-06 05:00:00,1.16129,1.16164,1.16054,1.16061,1781
2026-03-06 06:00:00,1.16061,1.16117,1.16015,1.16113,1895
2026-03-06 07:00:00,1.16112,1.16176,1.1606,1.16141,2516
2026-03-06 08:00:00,1.16143,1.16143,1.1601,1.16027,3197
2026-03-06 09:00:00,1.16025,1.16025,1.1571500000000001,1.1574200000000001,3944
2026-03-06 10:00:00,1.1574,1.15849,1.15725,1.15781,3493
2026-03-06 11:00:00,1.15781,1.1581,1.15608,1.15622,4071
2026-03-06 12:00:00,1.15625,1.15683,1.1552,1.15544,3806
2026-03-06 13:00:00,1.15542,1.1593499999999999,1.15499,1.15549,10742
2026-03-06 14:00:00,1.15548,1.1574200000000001,1.15455,1.1571799999999999,9584
2026-03-06 15:00:00,1.15717,1.1592500000000001,1.15699,1.15791,8887
2026-03-06 16:00:00,1.15792,1.16126,1.15786,1.16052,6795
2026-03-06 17:00:00,1.1605,1.16092,1.15941,1.15955,5724
2026-03-06 18:00:00,1.15957,1.16211,1.15924,1.15979,5394
2026-03-06 19:00:00,1.15982,1.16092,1.15964,1.16011,3515
2026-03-06 20:00:00,1.16013,1.16096,1.15952,1.16058,3049
2026-03-06 21:00:00,1.1605699999999999,1.1618,1.1604700000000001,1.16164,1996
2026-03-08 21:00:00,1.15536,1.15537,1.1544,1.15456,422
2026-03-08 22:00:00,1.15472,1.15521,1.15267,1.15357,6098
2026-03-08 23:00:00,1.15356,1.154,1.15209,1.1524,4491
2026-03-09 00:00:00,1.15238,1.15309,1.15157,1.15172,4147
2026-03-09 01:00:00,1.1517,1.15235,1.15067,1.1509,4177
2026-03-09 02:00:00,1.1509,1.15276,1.1508,1.15247,4061
2026-03-09 03:00:00,1.15246,1.15285,1.15122,1.15164,2888
2026-03-09 04:00:00,1.15165,1.1529099999999999,1.15155,1.15255,2137
2026-03-09 05:00:00,1.15257,1.15711,1.15234,1.15671,6990
2026-03-09 06:00:00,1.1567,1.15689,1.15445,1.15445,5617
2026-03-09 07:00:00,1.15448,1.15646,1.15351,1.15632,6928
2026-03-09 08:00:00,1.15633,1.15651,1.15147,1.15339,8063
2026-03-09 09:00:00,1.1534,1.15729,1.15306,1.15536,8235
2026-03-09 10:00:00,1.15538,1.15645,1.15464,1.156,6976
2026-03-09 11:00:00,1.15602,1.15675,1.15547,1.15608,5092
2026-03-09 12:00:00,1.15609,1.1568100000000001,1.15497,1.15529,4992
2026-03-09 13:00:00,1.15529,1.15873,1.15519,1.15757,7518
2026-03-09 14:00:00,1.15759,1.15779,1.1547,1.15725,10548
2026-03-09 15:00:00,1.15727,1.15934,1.1571799999999999,1.15912,5689
2026-03-09 16:00:00,1.15911,1.1599,1.15848,1.15871,4536
2026-03-09 17:00:00,1.15872,1.15892,1.15782,1.15784,3043
2026-03-09 18:00:00,1.15781,1.15841,1.15755,1.15763,2716
2026-03-09 19:00:00,1.15763,1.16334,1.1575,1.16088,12201
2026-03-09 20:00:00,1.16085,1.16356,1.16083,1.16347,2888
2026-03-09 21:00:00,1.16342,1.16357,1.16307,1.16356,607
2026-03-09 22:00:00,1.16367,1.16452,1.16222,1.16294,2581
2026-03-09 23:00:00,1.16295,1.16309,1.16143,1.16161,2190
2026-03-10 00:00:00,1.16162,1.16351,1.16113,1.16258,4103
2026-03-10 01:00:00,1.16256,1.16294,1.16114,1.16196,3950
2026-03-10 02:00:00,1.16195,1.16265,1.16114,1.16131,2464
2026-03-10 03:00:00,1.16133,1.16155,1.16076,1.16093,1861
2026-03-10 04:00:00,1.16095,1.1614,1.16066,1.16115,1307
2026-03-10 05:00:00,1.16115,1.16199,1.16113,1.16198,1903
2026-03-10 06:00:00,1.162,1.1637,1.162,1.16321,2233
2026-03-10 07:00:00,1.16323,1.1663000000000001,1.16275,1.16601,4386
2026-03-10 08:00:00,1.16599,1.16617,1.16429,1.16455,4867
2026-03-10 09:00:00,1.16454,1.16586,1.16436,1.1650800000000001,3606
2026-03-10 10:00:00,1.1651,1.16515,1.162,1.16391,4246
2026-03-10 11:00:00,1.1639,1.16526,1.1635900000000001,1.16381,4981
2026-03-10 12:00:00,1.16384,1.16405,1.16211,1.16341,5346
2026-03-10 13:00:00,1.1634,1.16486,1.16288,1.16319,5926
2026-03-10 14:00:00,1.1632,1.165,1.16268,1.16479,4642
2026-03-10 15:00:00,1.1648100000000001,1.16548,1.16392,1.16474,4024
2026-03-10 16:00:00,1.1647,1.16541,1.16387,1.16513,3229
2026-03-10 17:00:00,1.16511,1.16669,1.16411,1.16451,5102
2026-03-10 18:00:00,1.16452,1.1645699999999999,1.16135,1.16242,9390
2026-03-10 19:00:00,1.16242,1.16282,1.16059,1.1614,5209
2026-03-10 20:00:00,1.16141,1.1615,1.16069,1.16078,1644
2026-03-10 21:00:00,1.16067,1.16106,1.16046,1.161,558
2026-03-10 22:00:00,1.16103,1.16128,1.16024,1.1604700000000001,797
2026-03-10 23:00:00,1.1604700000000001,1.1611799999999999,1.16046,1.16112,959
2026-03-11 00:00:00,1.16112,1.16244,1.16053,1.16178,3050
2026-03-11 01:00:00,1.16177,1.16277,1.16123,1.16263,2378
2026-03-11 02:00:00,1.16265,1.16288,1.16183,1.16256,1746
2026-03-11 03:00:00,1.16257,1.16313,1.16246,1.163,1339
2026-03-11 04:00:00,1.163,1.16348,1.16277,1.16334,1149
2026-03-11 05:00:00,1.16334,1.16356,1.1629800000000001,1.16326,1545
2026-03-11 06:00:00,1.16328,1.16405,1.16293,1.16331,2048
2026-03-11 07:00:00,1.16328,1.16451,1.1613,1.16166,4954
2026-03-11 08:00:00,1.1616900000000001,1.1621,1.16031,1.16123,3808
2026-03-11 09:00:00,1.1612,1.16135,1.1589800000000001,1.15918,4907
2026-03-11 10:00:00,1.15918,1.16112,1.15907,1.16068,3185
2026-03-11 11:00:00,1.16065,1.16105,1.15942,1.15942,4029
2026-03-11 12:00:00,1.1594,1.16053,1.15771,1.15819,5871
2026-03-11 13:00:00,1.15821,1.1593,1.15773,1.15914,5132
2026-03-11 14:00:00,1.15911,1.16124,1.15806,1.15817,10055
2026-03-11 15:00:00,1.15818,1.15839,1.15652,1.15659,3881
2026-03-11 16:00:00,1.15659,1.15762,1.15627,1.15707,3506
2026-03-11 17:00:00,1.15709,1.1576,1.15604,1.15707,3842
2026-03-11 18:00:00,1.15707,1.1574,1.15639,1.15712,2447
2026-03-11 19:00:00,1.15713,1.15758,1.15678,1.1573,1467
2026-03-11 20:00:00,1.15729,1.15735,1.15639,1.15641,889
2026-03-11 21:00:00,1.15641,1.15704,1.15641,1.15704,495
2026-03-11 22:00:00,1.15732,1.15737,1.15491,1.155,1419
2026-03-11 23:00:00,1.1549800000000001,1.15534,1.15396,1.15426,1705
2026-03-12 00:00:00,1.15424,1.15497,1.15337,1.15452,2210
2026-03-12 01:00:00,1.15454,1.15551,1.15449,1.15503,1957
2026-03-12 02:00:00,1.15503,1.15539,1.15319,1.15385,1878
2026-03-12 03:00:00,1.15383,1.15399,1.15328,1.15381,1394
2026-03-12 04:00:00,1.15381,1.15397,1.15314,1.15328,1042
2026-03-12 05:00:00,1.15328,1.15448,1.15323,1.15393,2255
2026-03-12 06:00:00,1.15393,1.1551,1.15388,1.15475,2198
2026-03-12 07:00:00,1.15477,1.15524,1.15412,1.1550799999999999,2516
2026-03-12 08:00:00,1.1551,1.15556,1.15428,1.15469,2640
2026-03-12 09:00:00,1.15471,1.15609,1.15441,1.15592,2196
2026-03-12 10:00:00,1.1559,1.15626,1.1549,1.15574,2404
2026-03-12 11:00:00,1.15572,1.15658,1.15521,1.1556,2621
2026-03-12 12:00:00,1.1555900000000001,1.15571,1.15323,1.15387,3313
2026-03-12 13:00:00,1.15388,1.15499,1.15197,1.15258,5987
2026-03-12 14:00:00,1.15261,1.15327,1.15151,1.15202,5749
2026-03-12 15:00:00,1.15201,1.1528100000000001,1.15104,1.15217,6240
2026-03-12 16:00:00,1.15216,1.15322,1.15134,1.15216,4843
2026-03-12 17:00:00,1.15216,1.15314,1.1519,1.15215,3503
2026-03-12 18:00:00,1.15216,1.15239,1.15109,1.15118,2276
2026-03-12 19:00:00,1.15116,1.15181,1.15103,1.15146,2102
2026-03-12 20:00:00,1.15145,1.1516,1.15079,1.15096,1131
2026-03-12 21:00:00,1.15099,1.15119,1.15078,1.15118,364
2026-03-12 22:00:00,1.15119,1.1521,1.15106,1.15188,1173
2026-03-12 23:00:00,1.15188,1.15229,1.15146,1.15204,1117
2026-03-13 00:00:00,1.1520299999999999,1.1528,1.15199,1.15232,1815
2026-03-13 01:00:00,1.1522999999999999,1.15292,1.15141,1.15161,1588
2026-03-13 02:00:00,1.15162,1.15217,1.15109,1.15133,1487
2026-03-13 03:00:00,1.15131,1.15155,1.15045,1.15087,1323
2026-03-13 04:00:00,1.15085,1.15091,1.14995,1.15027,1130
2026-03-13 05:00:00,1.15028,1.15062,1.14993,1.15006,1303
2026-03-13 06:00:00,1.15008,1.1503,1.1482,1.1482700000000001,2123
2026-03-13 07:00:00,1.14829,1.14833,1.14537,1.14575,3578
2026-03-13 08:00:00,1.14573,1.1459,1.14324,1.14448,4594
2026-03-13 09:00:00,1.1445,1.14611,1.1445,1.14527,3613
2026-03-13 10:00:00,1.14528,1.14716,1.1451500000000001,1.14581,3364
2026-03-13 11:00:00,1.14581,1.14704,1.1454900000000001,1.1468099999999999,3802
2026-03-13 12:00:00,1.14679,1.1488,1.14605,1.14776,5501
2026-03-13 13:00:00,1.14779,1.14896,1.14733,1.14788,4834
2026-03-13 14:00:00,1.14787,1.14847,1.14553,1.1457,4972
2026-03-13 15:00:00,1.14571,1.14606,1.1434199999999999,1.1442700000000001,5597
2026-03-13 16:00:00,1.14425,1.14501,1.14359,1.14417,4404
2026-03-13 17:00:00,1.14415,1.14459,1.14333,1.14421,3034
2026-03-13 18:00:00,1.14422,1.1442700000000001,1.1431499999999999,1.14357,2473
2026-03-13 19:00:00,1.14357,1.14367,1.14196,1.1421999999999999,1998
2026-03-13 20:00:00,1.14219,1.14224,1.14106,1.1414900000000001,1597
2026-03-15 21:00:00,1.1417,1.14263,1.14169,1.14242,465
2026-03-15 22:00:00,1.14261,1.14383,1.1418300000000001,1.14294,3041
2026-03-15 23:00:00,1.14296,1.14354,1.14256,1.14349,2281
2026-03-16 00:00:00,1.14348,1.1455,1.14348,1.14543,2364
2026-03-16 01:00:00,1.14543,1.14561,1.14394,1.14491,2409
2026-03-16 02:00:00,1.14491,1.14511,1.14444,1.14475,1722
2026-03-16 03:00:00,1.14477,1.14536,1.14452,1.14501,1221
2026-03-16 04:00:00,1.14502,1.14513,1.14411,1.14411,1014
2026-03-16 05:00:00,1.14412,1.14433,1.14329,1.14345,1459
2026-03-16 06:00:00,1.14344,1.14364,1.14238,1.14314,1834
2026-03-16 07:00:00,1.14313,1.14347,1.14139,1.14256,2789
2026-03-16 08:00:00,1.14258,1.14451,1.14256,1.14445,3880
2026-03-16 09:00:00,1.14445,1.14523,1.14405,1.14495,2849
2026-03-16 10:00:00,1.14495,1.14774,1.14471,1.14749,3381
2026-03-16 11:00:00,1.14749,1.14867,1.14705,1.14789,2997
2026-03-16 12:00:00,1.14791,1.14875,1.14719,1.14736,3545
2026-03-16 13:00:00,1.14738,1.15004,1.14738,1.14998,3643
2026-03-16 14:00:00,1.14997,1.15018,1.14801,1.14885,4117
2026-03-16 15:00:00,1.14884,1.14998,1.14799,1.1486399999999999,3065
2026-03-16 16:00:00,1.14866,1.1499,1.14772,1.14931,3605
2026-03-16 17:00:00,1.14933,1.15038,1.14902,1.14918,3576
2026-03-16 18:00:00,1.14917,1.15233,1.14917,1.15185,3053
2026-03-16 19:00:00,1.15185,1.15245,1.15057,1.15078,3053
2026-03-16 20:00:00,1.15075,1.15103,1.15028,1.15044,1238
2026-03-16 21:00:00,1.15045,1.1507100000000001,1.15025,1.15067,431
2026-03-16 22:00:00,1.15062,1.15062,1.14977,1.1498599999999999,663
2026-03-16 23:00:00,1.1498599999999999,1.14996,1.14943,1.14981,923
2026-03-17 00:00:00,1.14981,1.14983,1.14889,1.14923,1649
2026-03-17 01:00:00,1.1492,1.14954,1.14863,1.14926,1921
2026-03-17 02:00:00,1.14926,1.14982,1.14905,1.14947,1041
2026-03-17 03:00:00,1.14945,1.15024,1.14914,1.1491500000000001,1378
2026-03-17 04:00:00,1.1491500000000001,1.14994,1.1489099999999999,1.14967,886
2026-03-17 05:00:00,1.14967,1.1499,1.14778,1.14791,1445
2026-03-17 06:00:00,1.1479300000000001,1.14813,1.14656,1.14812,2233
2026-03-17 07:00:00,1.14812,1.14999,1.14792,1.14945,2568
2026-03-17 08:00:00,1.14947,1.15177,1.14874,1.15101,3658
2026-03-17 09:00:00,1.15102,1.15244,1.15075,1.15161,3095
2026-03-17 10:00:00,1.1515900000000001,1.1516,1.1503700000000001,1.1506,2649
2026-03-17 11:00:00,1.1506,1.15185,1.15042,1.15073,2432
2026-03-17 12:00:00,1.15073,1.15243,1.1504,1.15237,3329
2026-03-17 13:00:00,1.15239,1.15434,1.15239,1.15301,4540
2026-03-17 14:00:00,1.15303,1.15385,1.15204,1.15328,3717
2026-03-17 15:00:00,1.15329,1.15384,1.1520299999999999,1.15245,4096
2026-03-17 16:00:00,1.15246,1.1532499999999999,1.15177,1.15278,3500
2026-03-17 17:00:00,1.15276,1.15397,1.15258,1.15391,2181
2026-03-17 18:00:00,1.15393,1.1547,1.1538,1.15389,1758
2026-03-17 19:00:00,1.1539,1.15411,1.15336,1.15353,1204
