,open,high,low,close,tick_volume,EMA_Fast,EMA_Slow,Signal,SL,TP
2026-03-31 22:36:00,1.15547,1.15549,1.15542,1.15548,15.0,1.15548,1.15548,0,,
2026-03-31 22:37:00,1.15548,1.15563,1.15548,1.15559,16.0,1.155502,1.15549,1,1.15443441,1.1579011799999999
2026-03-31 22:38:00,1.15561,1.15578,1.15561,1.15577,24.0,1.1555556,1.1555154545454545,0,,
2026-03-31 22:39:00,1.15577,1.15578,1.15572,1.15578,15.0,1.15560048,1.1555395041322312,0,,
2026-03-31 22:40:00,1.15578,1.15579,1.15577,1.15579,7.0,1.155638384,1.1555622764838465,0,,
2026-03-31 22:41:00,1.15579,1.15579,1.15568,1.1557,20.0,1.1556507072,1.1555747968034968,0,,
2026-03-31 22:42:00,1.1557,1.15573,1.15569,1.15573,8.0,1.15566656576,1.155588906184997,0,,
2026-03-31 22:43:00,1.15573,1.15573,1.15567,1.15569,13.0,1.1556712526080002,1.1555980965318156,0,,
2026-03-31 22:44:00,1.15569,1.15573,1.15567,1.15567,7.0,1.1556710020864003,1.1556046332107415,0,,
2026-03-31 22:45:00,1.15567,1.15567,1.15552,1.15557,11.0,1.1556508016691203,1.1556014847370375,0,,
2026-03-31 22:46:00,1.15557,1.15562,1.15557,1.15559,12.0,1.1556386413352961,1.155600440670034,0,,
2026-03-31 22:47:00,1.15559,1.15566,1.15559,1.15566,12.0,1.1556429130682369,1.1556058551545763,0,,
2026-03-31 22:48:00,1.15565,1.15572,1.15565,1.15572,21.0,1.1556583304545895,1.1556162319587058,0,,
2026-03-31 22:49:00,1.15572,1.15582,1.15572,1.15579,15.0,1.1556846643636718,1.1556320290533688,0,,
2026-03-31 22:50:00,1.15579,1.15579,1.15577,1.15577,6.0,1.1557017314909375,1.1556445718666988,0,,
2026-03-31 22:51:00,1.15577,1.15577,1.15576,1.15577,3.0,1.15571538519275,1.1556559744242716,0,,
2026-03-31 22:52:00,1.15577,1.15578,1.15577,1.15577,3.0,1.1557263081542,1.1556663403857015,0,,
2026-03-31 22:53:00,1.15577,1.15578,1.15571,1.15573,13.0,1.15572704652336,1.1556721276233648,0,,
2026-03-31 22:54:00,1.15572,1.15577,1.15572,1.15577,6.0,1.155735637218688,1.1556810251121499,0,,
2026-03-31 22:55:00,1.15577,1.15578,1.15573,1.15577,6.0,1.1557425097749505,1.155689113738318,0,,
2026-03-31 22:56:00,1.15577,1.15583,1.15577,1.15582,9.0,1.1557580078199605,1.15570101248938,0,,
2026-03-31 22:57:00,1.15582,1.15589,1.15582,1.15589,10.0,1.1557844062559686,1.1557181931721636,0,,
2026-03-31 22:58:00,1.15589,1.15589,1.1558,1.15582,11.0,1.155791525004775,1.1557274483383304,0,,
2026-03-31 22:59:00,1.15582,1.15582,1.1558,1.15582,6.0,1.1557972200038202,1.1557358621257547,0,,
2026-03-31 23:00:00,1.15582,1.15584,1.15581,1.15584,10.0,1.1558057760030562,1.1557453292052315,0,,
2026-03-31 23:01:00,1.15584,1.15587,1.15574,1.15582,31.0,1.155808620802445,1.1557521174593013,0,,
2026-03-31 23:02:00,1.15581,1.15582,1.1558,1.15582,14.0,1.155810896641956,1.1557582885993647,0,,
2026-03-31 23:03:00,1.15582,1.15583,1.15567,1.15568,20.0,1.155784717313565,1.1557511714539679,0,,
2026-03-31 23:04:00,1.15567,1.15572,1.15567,1.15572,9.0,1.155771773850852,1.1557483376854254,0,,
2026-03-31 23:05:00,1.15572,1.15572,1.15567,1.15571,15.0,1.1557594190806817,1.1557448524412957,0,,
2026-03-31 23:06:00,1.15571,1.15587,1.15571,1.15584,19.0,1.1557755352645454,1.1557535022193597,0,,
2026-03-31 23:07:00,1.15584,1.15597,1.15584,1.15597,10.0,1.1558144282116363,1.1557731838357816,0,,
2026-03-31 23:08:00,1.15597,1.15599,1.15594,1.15594,10.0,1.155839542569309,1.1557883489416196,0,,
2026-03-31 23:09:00,1.15595,1.15598,1.15595,1.15596,4.0,1.1558636340554473,1.1558039535832905,0,,
2026-03-31 23:10:00,1.15596,1.15606,1.15596,1.15601,18.0,1.155892907244358,1.1558226850757185,0,,
2026-03-31 23:11:00,1.15601,1.15601,1.15581,1.15582,21.0,1.1558783257954865,1.1558224409779259,0,,
2026-03-31 23:12:00,1.15582,1.1559,1.15582,1.1559,9.0,1.1558826606363892,1.1558294917981145,0,,
2026-03-31 23:13:00,1.15588,1.15602,1.15587,1.15602,19.0,1.1559101285091113,1.1558468107255586,0,,
2026-03-31 23:14:00,1.15602,1.15605,1.15602,1.15605,4.0,1.1559381028072893,1.1558652824777804,0,,
2026-03-31 23:15:00,1.15605,1.15612,1.156,1.1561,21.0,1.1559704822458314,1.1558866204343459,0,,
2026-03-31 23:16:00,1.1561,1.15627,1.1561,1.15627,21.0,1.1560303857966652,1.1559214731221326,0,,
2026-03-31 23:17:00,1.15626,1.15627,1.15618,1.15624,19.0,1.1560723086373321,1.1559504301110295,0,,
2026-03-31 23:18:00,1.15625,1.15629,1.15619,1.1562,19.0,1.1560978469098657,1.155973118282754,0,,
2026-03-31 23:19:00,1.15618,1.15627,1.15618,1.15625,18.0,1.1561282775278927,1.1559982893479581,0,,
2026-03-31 23:20:00,1.15625,1.15627,1.15622,1.15624,16.0,1.1561506220223143,1.1560202630435983,0,,
2026-03-31 23:21:00,1.15624,1.1563,1.15624,1.15629,14.0,1.1561784976178515,1.1560447845850892,0,,
2026-03-31 23:22:00,1.15629,1.15635,1.15627,1.15627,18.0,1.1561967980942813,1.1560652587137172,0,,
2026-03-31 23:23:00,1.15627,1.15633,1.15625,1.15632,15.0,1.1562214384754252,1.1560884170124703,0,,
2026-03-31 23:24:00,1.15632,1.15646,1.15628,1.15643,26.0,1.1562631507803403,1.1561194700113366,0,,
2026-03-31 23:25:00,1.15644,1.15668,1.15641,1.15666,30.0,1.1563425206242723,1.156168609101215,0,,
2026-03-31 23:26:00,1.15667,1.1567,1.15663,1.1567,13.0,1.1564140164994179,1.156216917364741,0,,
2026-03-31 23:27:00,1.15671,1.15676,1.15663,1.15663,25.0,1.1564572131995345,1.1562544703315827,0,,
2026-03-31 23:28:00,1.15663,1.15668,1.15662,1.15663,16.0,1.1564917705596276,1.156288609392348,0,,
2026-03-31 23:29:00,1.15663,1.15664,1.15659,1.1566,14.0,1.1565134164477022,1.1563169176294072,0,,
2026-03-31 23:30:00,1.15658,1.15658,1.15652,1.15656,18.0,1.1565227331581618,1.156339016026734,0,,
2026-03-31 23:31:00,1.15656,1.15659,1.1565,1.1565,17.0,1.1565181865265295,1.1563536509333945,0,,
2026-03-31 23:32:00,1.1565,1.15655,1.15645,1.15648,21.0,1.1565105492212235,1.1563651372121766,0,,
2026-03-31 23:33:00,1.15648,1.15659,1.15647,1.15659,22.0,1.1565264393769787,1.156385579283797,0,,
2026-03-31 23:34:00,1.1566,1.15669,1.15656,1.15666,19.0,1.156553151501583,1.1564105266216336,0,,
2026-03-31 23:35:00,1.15666,1.15666,1.1565,1.15652,17.0,1.1565465212012664,1.1564204787469397,0,,
2026-03-31 23:36:00,1.15653,1.15661,1.1565,1.15659,22.0,1.1565552169610132,1.1564358897699452,0,,
2026-03-31 23:37:00,1.15659,1.15659,1.15649,1.15649,14.0,1.1565421735688106,1.1564408088817684,0,,
2026-03-31 23:38:00,1.15649,1.15656,1.15649,1.15653,17.0,1.1565397388550487,1.1564489171652441,0,,
2026-03-31 23:39:00,1.15653,1.15663,1.15653,1.1566,15.0,1.156551791084039,1.1564626519684038,0,,
2026-03-31 23:40:00,1.1566,1.15663,1.15654,1.15654,18.0,1.1565494328672312,1.1564696836076398,0,,
2026-03-31 23:41:00,1.15654,1.15658,1.15653,1.15656,9.0,1.156551546293785,1.1564778941887635,0,,
2026-03-31 23:42:00,1.15653,1.15653,1.15647,1.15648,6.0,1.156537237035028,1.1564780856261485,0,,
2026-03-31 23:43:00,1.15648,1.15658,1.15648,1.15657,16.0,1.1565437896280224,1.1564864414783167,0,,
2026-03-31 23:44:00,1.15657,1.15658,1.15653,1.15655,15.0,1.156545031702418,1.1564922195257423,0,,
2026-03-31 23:45:00,1.15655,1.15656,1.15647,1.1565,18.0,1.1565360253619343,1.1564929268415838,0,,
2026-03-31 23:46:00,1.15651,1.15662,1.1565,1.1566,14.0,1.1565488202895475,1.1565026607650761,0,,
2026-03-31 23:47:00,1.15662,1.15669,1.15662,1.15664,19.0,1.156567056231638,1.1565151461500691,0,,
2026-03-31 23:48:00,1.15663,1.15667,1.15661,1.15663,8.0,1.1565796449853103,1.1565255874091538,0,,
2026-03-31 23:49:00,1.15663,1.15675,1.15662,1.15674,22.0,1.1566117159882483,1.156545079462867,0,,
2026-03-31 23:50:00,1.15674,1.15695,1.15674,1.15689,46.0,1.1566673727905987,1.1565764358753337,0,,
2026-03-31 23:51:00,1.15689,1.15699,1.15686,1.15686,48.0,1.1567058982324792,1.1566022144321215,0,,
2026-03-31 23:52:00,1.15688,1.157,1.15685,1.15691,30.0,1.1567467185859834,1.1566301949382922,0,,
2026-03-31 23:53:00,1.15691,1.15703,1.15689,1.15696,49.0,1.1567893748687867,1.1566601772166292,0,,
2026-03-31 23:54:00,1.15696,1.157,1.15688,1.157,32.0,1.1568314998950295,1.1566910701969357,0,,
2026-03-31 23:55:00,1.157,1.15727,1.15699,1.15719,52.0,1.1569031999160238,1.1567364274517598,0,,
2026-03-31 23:56:00,1.15719,1.15726,1.15718,1.15724,28.0,1.156970559932819,1.156782206774327,0,,
2026-03-31 23:57:00,1.15724,1.15736,1.1572,1.15736,40.0,1.1570484479462553,1.1568347334312064,0,,
2026-03-31 23:58:00,1.15736,1.15741,1.15731,1.15738,35.0,1.1571147583570043,1.1568843031192786,0,,
2026-03-31 23:59:00,1.15738,1.15743,1.15733,1.15736,21.0,1.1571638066856034,1.1569275482902532,0,,
2026-04-01 00:00:00,1.15735,1.15735,1.15693,1.15704,83.0,1.1571390453484827,1.1569377711729574,0,,
2026-04-01 00:01:00,1.15704,1.15711,1.15699,1.15699,55.0,1.157109236278786,1.156942519248143,0,,
2026-04-01 00:02:00,1.15699,1.15705,1.1569,1.15697,70.0,1.157081389023029,1.1569450174983118,0,,
2026-04-01 00:03:00,1.15697,1.1572,1.15697,1.15719,62.0,1.1571031112184231,1.156967288634829,0,,
2026-04-01 00:04:00,1.15719,1.1573,1.15717,1.1573,47.0,1.1571424889747386,1.1569975351225716,0,,
2026-04-01 00:05:00,1.1573,1.15734,1.15724,1.15726,33.0,1.157165991179791,1.1570213955659743,0,,
2026-04-01 00:06:00,1.15727,1.1574,1.15724,1.15732,36.0,1.1571967929438327,1.157048541423613,0,,
2026-04-01 00:07:00,1.15732,1.15733,1.15718,1.15728,35.0,1.1572134343550662,1.1570695831123754,0,,
2026-04-01 00:08:00,1.15729,1.15735,1.15726,1.15732,35.0,1.157234747484053,1.1570923482839774,0,,
2026-04-01 00:09:00,1.15733,1.15734,1.15722,1.15723,26.0,1.1572337979872425,1.1571048620763429,0,,
2026-04-01 00:10:00,1.15723,1.15723,1.15714,1.15715,21.0,1.157217038389794,1.157108965523948,0,,
2026-04-01 00:11:00,1.15715,1.15724,1.15706,1.15715,44.0,1.1572036307118352,1.1571126959308617,0,,
2026-04-01 00:12:00,1.15716,1.15727,1.15714,1.15724,23.0,1.1572109045694683,1.157124269028056,0,,
2026-04-01 00:13:00,1.15724,1.15733,1.15722,1.1573,21.0,1.1572287236555747,1.15714024457096,0,,
2026-04-01 00:14:00,1.1573,1.15736,1.15728,1.15733,23.0,1.1572489789244598,1.1571574950645092,0,,
2026-04-01 00:15:00,1.15734,1.15776,1.15732,1.15772,63.0,1.157343183139568,1.1572086318768264,0,,
2026-04-01 00:16:00,1.15769,1.15779,1.15767,1.15768,48.0,1.1574105465116544,1.1572514835243877,0,,
2026-04-01 00:17:00,1.15768,1.15779,1.15766,1.15776,30.0,1.1574804372093235,1.1572977122948978,0,,
2026-04-01 00:18:00,1.15777,1.15784,1.1577,1.1577,43.0,1.1575243497674588,1.1573342839044525,0,,
2026-04-01 00:19:00,1.15768,1.1578,1.15766,1.15766,30.0,1.157551479813967,1.1573638944585931,0,,
2026-04-01 00:20:00,1.15767,1.15775,1.15765,1.15768,35.0,1.1575771838511737,1.1573926313259937,0,,
2026-04-01 00:21:00,1.15768,1.15768,1.15761,1.15765,17.0,1.157591747080939,1.157416028478176,0,,
2026-04-01 00:22:00,1.15765,1.15765,1.15749,1.15763,53.0,1.1575993976647512,1.1574354804347056,0,,
2026-04-01 00:23:00,1.15762,1.15769,1.15759,1.15764,28.0,1.157607518131801,1.1574540731224596,0,,
2026-04-01 00:24:00,1.15765,1.15767,1.15757,1.15759,29.0,1.157604014505441,1.1574664301113269,0,,
2026-04-01 00:25:00,1.15759,1.15761,1.1575,1.15755,32.0,1.1575932116043528,1.1574740273739335,0,,
2026-04-01 00:26:00,1.15755,1.15755,1.15746,1.15751,30.0,1.1575765692834823,1.1574772976126666,0,,
2026-04-01 00:27:00,1.15751,1.15751,1.1574,1.15745,33.0,1.157551255426786,1.1574748160115151,0,,
2026-04-01 00:28:00,1.15745,1.15754,1.15745,1.15754,27.0,1.1575490043414287,1.1574807418286501,0,,
2026-04-01 00:29:00,1.15754,1.15765,1.15753,1.15763,23.0,1.1575652034731432,1.1574943107533184,0,,
2026-04-01 00:30:00,1.15765,1.15772,1.15764,1.15766,23.0,1.1575841627785146,1.1575093734121076,0,,
2026-04-01 00:31:00,1.15766,1.15769,1.15759,1.15759,18.0,1.1575853302228118,1.157516703101916,0,,
2026-04-01 00:32:00,1.15758,1.15762,1.15752,1.15756,32.0,1.1575802641782496,1.15752063918356,0,,
2026-04-01 00:33:00,1.15757,1.1576,1.15752,1.1576,30.0,1.1575842113425996,1.1575278538032363,0,,
2026-04-01 00:34:00,1.1576,1.15763,1.15758,1.15759,18.0,1.1575853690740798,1.1575335034574876,0,,
2026-04-01 00:35:00,1.15759,1.15762,1.15752,1.15762,24.0,1.1575922952592639,1.1575413667795342,0,,
2026-04-01 00:36:00,1.15762,1.15762,1.15745,1.15745,39.0,1.1575638362074112,1.1575330607086676,0,,
2026-04-01 00:37:00,1.15745,1.15752,1.15741,1.15749,31.0,1.157549068965929,1.1575291460987887,0,,
2026-04-01 00:38:00,1.15749,1.15751,1.15747,1.15748,11.0,1.1575352551727431,1.157524678271626,0,,
2026-04-01 00:39:00,1.15748,1.15764,1.15748,1.15763,20.0,1.1575542041381945,1.1575342529742054,0,,
2026-04-01 00:40:00,1.15763,1.15771,1.15756,1.15771,21.0,1.1575853633105557,1.1575502299765503,0,,
2026-04-01 00:41:00,1.15772,1.15772,1.15763,1.15764,14.0,1.1575962906484447,1.157558390887773,0,,
2026-04-01 00:42:00,1.15764,1.15765,1.1576,1.15763,11.0,1.1576030325187558,1.1575649008070663,0,,
2026-04-01 00:43:00,1.15765,1.1577,1.15759,1.1576,12.0,1.1576024260150046,1.1575680916427875,0,,
2026-04-01 00:44:00,1.1576,1.15765,1.15758,1.15759,27.0,1.1575999408120037,1.157570083311625,0,,
2026-04-01 00:45:00,1.15759,1.15762,1.15741,1.15748,40.0,1.157575952649603,1.157561893919659,0,,
2026-04-01 00:46:00,1.15748,1.1575,1.15734,1.15734,26.0,1.1575287621196826,1.1575417217451445,-1,1.1584973399999998,1.15502532
2026-04-01 00:47:00,1.15734,1.15745,1.1573,1.15743,32.0,1.157509009695746,1.1575315652228586,0,,
2026-04-01 00:48:00,1.15742,1.15743,1.15734,1.15734,36.0,1.157475207756597,1.1575141502025987,0,,
2026-04-01 00:49:00,1.15733,1.15736,1.15721,1.15721,25.0,1.1574221662052777,1.1574865001841808,0,,
2026-04-01 00:50:00,1.15722,1.15736,1.15722,1.1573,25.0,1.1573977329642222,1.1574695456219823,0,,
2026-04-01 00:51:00,1.1573,1.15742,1.15724,1.15729,40.0,1.1573761863713778,1.1574532232927113,0,,
2026-04-01 00:52:00,1.15729,1.15729,1.15711,1.15711,41.0,1.1573229490971024,1.157422021175192,0,,
2026-04-01 00:53:00,1.15711,1.15721,1.15708,1.15716,28.0,1.157290359277682,1.1573982010683561,0,,
2026-04-01 00:54:00,1.15715,1.15744,1.1571,1.15739,81.0,1.1573102874221457,1.1573974555166873,0,,
2026-04-01 00:55:00,1.15742,1.15752,1.15729,1.15731,35.0,1.1573102299377167,1.1573895050151701,0,,
2026-04-01 00:56:00,1.1573,1.15731,1.15722,1.15723,16.0,1.1572941839501734,1.1573750045592455,0,,
2026-04-01 00:57:00,1.15721,1.15732,1.15719,1.1573,35.0,1.1572953471601388,1.1573681859629503,0,,
2026-04-01 00:58:00,1.15731,1.1575,1.15726,1.15746,37.0,1.157328277728111,1.1573765326935912,0,,
2026-04-01 00:59:00,1.15745,1.15749,1.15739,1.1574,42.0,1.157342622182489,1.1573786660850829,0,,
2026-04-01 01:00:00,1.1574,1.15755,1.15698,1.15713,139.0,1.157300097745991,1.157356060077348,0,,
2026-04-01 01:01:00,1.1571,1.1571,1.15662,1.15674,120.0,1.157188078196793,1.157300054615771,0,,
2026-04-01 01:02:00,1.15673,1.15684,1.1567,1.15673,69.0,1.1570964625574345,1.1572482314688828,0,,
2026-04-01 01:03:00,1.15674,1.15676,1.15633,1.15635,74.0,1.1569471700459477,1.1571665740626207,0,,
2026-04-01 01:04:00,1.15634,1.15638,1.1562,1.15621,73.0,1.1567997360367581,1.1570796127842007,0,,
2026-04-01 01:05:00,1.15621,1.15627,1.15593,1.15599,68.0,1.1566377888294066,1.156980557076546,0,,
2026-04-01 01:06:00,1.15599,1.15601,1.15566,1.15588,101.0,1.1564862310635253,1.1568805064332235,0,,
2026-04-01 01:07:00,1.1559,1.15621,1.15588,1.15605,91.0,1.1563989848508203,1.156805005848385,0,,
2026-04-01 01:08:00,1.15605,1.15619,1.15593,1.15614,72.0,1.1563471878806562,1.156744550771259,0,,
2026-04-01 01:09:00,1.15616,1.15631,1.15616,1.15627,67.0,1.156331750304525,1.1567014097920536,0,,
2026-04-01 01:10:00,1.15624,1.15641,1.15615,1.15641,44.0,1.15634740024362,1.1566749179927758,0,,
2026-04-01 01:11:00,1.15641,1.15646,1.1563,1.15637,49.0,1.1563519201948962,1.1566471981752506,0,,
2026-04-01 01:12:00,1.15637,1.15638,1.15625,1.15634,47.0,1.156349536155917,1.1566192710684096,0,,
2026-04-01 01:13:00,1.15636,1.1565,1.15628,1.15645,53.0,1.1563696289247338,1.1566038827894631,0,,
2026-04-01 01:14:00,1.15646,1.15653,1.1564,1.15653,29.0,1.156401703139787,1.1565971661722392,0,,
2026-04-01 01:15:00,1.15651,1.15651,1.15622,1.15622,64.0,1.1563653625118298,1.1565628783383992,0,,
2026-04-01 01:16:00,1.15624,1.15635,1.15616,1.15617,63.0,1.1563262900094637,1.1565271621258173,0,,
2026-04-01 01:17:00,1.15617,1.15632,1.15611,1.15617,58.0,1.156295032007571,1.156494692841652,0,,
2026-04-01 01:18:00,1.15617,1.15628,1.15611,1.15613,39.0,1.156262025606057,1.1564615389469561,0,,
2026-04-01 01:19:00,1.15613,1.15625,1.15608,1.15611,52.0,1.1562316204848455,1.1564295808608693,0,,
2026-04-01 01:20:00,1.15612,1.15632,1.156,1.15601,77.0,1.1561872963878765,1.1563914371462447,0,,
2026-04-01 01:21:00,1.15601,1.15601,1.15575,1.15577,51.0,1.1561038371103014,1.1563349428602223,0,,
2026-04-01 01:22:00,1.15579,1.15593,1.15579,1.15583,51.0,1.1560490696882413,1.1562890389638385,0,,
2026-04-01 01:23:00,1.15583,1.15591,1.1558,1.15588,41.0,1.1560152557505932,1.1562518536034896,0,,
2026-04-01 01:24:00,1.15588,1.15593,1.15583,1.15583,33.0,1.1559782046004745,1.1562135032758998,0,,
